Point 353 --> || t = 508.7000000000 || max_dvdt = 15.6216551757 ||
Point 354 --> || t = 508.7000000000 || max_dvdt = 15.3342322166 ||
Point 355 --> || t = 508.8000000000 || max_dvdt = 15.3142278929 ||
Point 356 --> || t = 508.8000000000 || max_dvdt = 15.6472556899 ||
Point 357 --> || t = 508.8000000000 || max_dvdt = 15.5488802435 ||
Point 358 --> || t = 508.8000000000 || max_dvdt = 15.1418405608 ||
Point 359 --> || t = 508.9000000000 || max_dvdt = 15.5320164737 ||
Point 360 --> || t = 508.9000000000 || max_dvdt = 15.6632562788 ||
Point 361 --> || t = 508.9000000000 || max_dvdt = 15.4140339306 ||
Point 362 --> || t = 509.0000000000 || max_dvdt = 15.2574056334 ||
Point 363 --> || t = 509.0000000000 || max_dvdt = 15.6552063477 ||
Point 364 --> || t = 509.0000000000 || max_dvdt = 15.6041887338 ||
Point 365 --> || t = 509.0000000000 || max_dvdt = 15.2269449147 ||
Point 366 --> || t = 509.1000000000 || max_dvdt = 15.5035609303 ||
Point 367 --> || t = 509.1000000000 || max_dvdt = 15.6906290283 ||
Point 368 --> || t = 509.1000000000 || max_dvdt = 15.4800608720 ||
Point 369 --> || t = 509.2000000000 || max_dvdt = 15.1903837672 ||
Point 370 --> || t = 509.2000000000 || max_dvdt = 15.6510345287 ||
Point 371 --> || t = 509.2000000000 || max_dvdt = 15.6476449387 ||
Point 372 --> || t = 509.2000000000 || max_dvdt = 15.3016770278 ||
Point 373 --> || t = 509.3000000000 || max_dvdt = 15.4642697775 ||
Point 374 --> || t = 509.3000000000 || max_dvdt = 15.7074641218 ||
Point 375 --> || t = 509.3000000000 || max_dvdt = 15.5372816286 ||
Point 376 --> || t = 509.4000000000 || max_dvdt = 15.1126022011 ||
Point 377 --> || t = 509.4000000000 || max_dvdt = 15.6366810655 ||
